video_id,trending_date,title,channel_title,category_id,publish_time,views,Likes,dislikes,comment_count
QgOXIEhHU1Y,18.14.06,"Diplo, French Montana & Lil Pump ft. Zhavia - Welcome To The Party (Official Video)",Diplo,Music,2018-05-21T14:12:22.000Z,40087764,835657,25283,38305
QwievZ1Tx-8,18.29.03,Marvel Studios' Avengers: Infinity War - Official Trailer,Marvel Entertainment,Entertainment,2018-03-16T13:02:41.000Z,52404970,1565579,32705,194290
QwZT7T-TXT0,18.09.01,So Sorry.,Logan Paul Vlogs,Entertainment,2018-01-02T16:42:21.000Z,37539570,1402578,1674420,1361580
qZHycHI3F1Q,18.05.03,Football vs Soccer Trick Shots | Dude Perfect,Dude Perfect,Sports,2018-02-19T22:56:12.000Z,18094162,632830,9098,35617
rhhQS3ns6HU,18.16.02,MOMMY AND DAUGHTER SURPRISE DADDY WITH PREGNANCY ANNOUNCEMENT!!! (SPEECHLESS),The ACE Family,People and Blogs,2018-02-07T02:42:04.000Z,7935379,711348,6636,193355
rRr1qiJRsXk,18.14.05,Sanju | Official Teaser | Ranbir Kapoor | Rajkumar Hirani,FoxStarHindi,Entertainment,2018-04-24T07:58:08.000Z,48654951,811144,33051,48941
rRzxEiBLQCA,17.18.12,TWICE Heart Shaker M/V,jypentertainment,Music,2017-12-11T08:59:59.000Z,41088994,956937,91898,157207
rsEne1ZiQrk,18.20.04,The Weeknd - Call Out My Name (Official Audio),The Weeknd,Music,2018-03-30T03:07:19.000Z,41604561,670203,15663,26743
ryr75N0nki0,18.04.01,Eminem - Walk On Water (Official Video) ft. Beyoncé,EminemVEVO,Music,2017-12-24T03:30:08.000Z,17629966,682328,35479,61132
S9KxqRUcnCU,18.07.04,Boomerang Trick Shots | Dude Perfect,Dude Perfect,Sports,2018-03-26T22:01:01.000Z,22233274,848043,15147,37216
SM1w9PEQOE8,17.09.12,Demi Lovato - Tell Me You Love Me,DemiLovatoVEVO,Music,2017-12-01T15:00:02.000Z,28860037,1251825,26134,77905
sS0LCjOiIhc,18.27.03,GOT7 Look M/V,jypentertainment,Music,2018-03-12T09:00:02.000Z,25757299,1036693,10869,213764
t5_dSCu_mLY,17.17.12,RIP ANGRY GRANDPA,TheAngryGrandpaShow,People and Blogs,2017-12-11T00:22:13.000Z,7757967,630523,9657,210605
tCXGJQYZ9JA,18.27.03,Taylor Swift - Delicate,TaylorSwiftVEVO,Music,2018-03-12T01:15:10.000Z,71560694,1928392,113990,162990
TyHvyGVs42U,17.26.11,"Luis Fonsi, Demi Lovato - Échame La Culpa",LuisFonsiVEVO,Music,2017-11-17T05:00:01.000Z,102012605,2376636,117196,134224
U9BwWKXjVaI,18.27.04,Drake - Nice For What,DrakeVEVO,Music,2018-04-07T02:46:31.000Z,60635812,994986,34165,55653
u9Mv98Gr5pY,18.14.05,VENOM - Official Trailer (HD),Sony Pictures Entertainment,Entertainment,2018-04-24T03:45:03.000Z,59254638,1295189,47162,139879
ulNswX3If6U,18.09.06,Selena Gomez - Back To You (Lyric Video),Selena Gomez,Film and Animation,2018-05-10T16:00:11.000Z,54863912,922355,18037,41774
vjI4Alon-3Q,18.29.05,Maluma - Marinero (Official Video),MalumaVEVO,Music,2018-05-04T10:00:33.000Z,59877217,853193,61049,48391
Vm4Xn5vjqRA,18.01.03,"CRISTIANO RONALDO E FRED, O GRANDE ENCONTRO",Desimpedidos,Sports,2018-02-25T21:59:30.000Z,5938439,1121217,4360,83660
voG07pt-KYI,18.14.06,ZAYN - Entertainer (Official Video),ZaynVEVO,Music,2018-05-23T16:00:03.000Z,21688951,634770,16618,38300
VRJmcxCrAOA,18.30.01,Real Life Trick Shots 2 | Dude Perfect,Dude Perfect,Sports,2018-01-22T22:55:24.000Z,29090799,1017919,15066,51282
VY1eFxgRR-k,18.14.06,Selena Gomez - Back To You,SelenaGomezVEVO,Music,2018-06-05T14:00:07.000Z,35181079,1323550,48192,71176
VYOjWnS4cMY,18.02.06,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,Music,2018-05-06T04:00:07.000Z,225211923,5023450,343541,517232
wfWIs2gFTAM,18.24.02,Eminem - River ft. Ed Sheeran,EminemVEVO,Music,2018-02-14T15:00:06.000Z,32730338,1199986,26862,67809
Wpm07-BGJnE,18.20.05,Nicki Minaj - Chun-Li,NickiMinajAtVEVO,Music,2018-05-04T16:00:08.000Z,36759844,834068,89869,93136
WS7f5xpGYn8,18.02.01,Katy Perry - Hey Hey Hey (Official),KatyPerryVEVO,Music,2017-12-20T20:00:02.000Z,33420138,821971,165109,81388
wzKL-bQKcgA,17.21.12,Anitta & J Balvin - Downtown (Official Lyric Video) ft. Lele Pons & Juanpa Zurita,Lele Pons,Comedy,2017-12-14T18:30:08.000Z,17758014,865679,25934,45223
xTlNMmZKwpA,18.14.06,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,Music,2018-05-29T14:05:10.000Z,94254507,1816753,102474,101077
